,x,y,variable,value
903,38,728,DIRECT-iR-BRAVIA,193.0
904,40,866,DIRECT-iR-BRAVIA,201.0
905,33,959,DIRECT-iR-BRAVIA,196.0
906,137,958,DIRECT-iR-BRAVIA,
907,135,857,DIRECT-iR-BRAVIA,196.0
908,135,729,DIRECT-iR-BRAVIA,200.0
909,139,639,DIRECT-iR-BRAVIA,
910,144,531,DIRECT-iR-BRAVIA,194.0
911,143,594,DIRECT-iR-BRAVIA,199.0
912,32,582,DIRECT-iR-BRAVIA,195.0
913,141,415,DIRECT-iR-BRAVIA,
914,146,326,DIRECT-iR-BRAVIA,
915,148,178,DIRECT-iR-BRAVIA,189.0
916,139,239,DIRECT-iR-BRAVIA,
917,146,89,DIRECT-iR-BRAVIA,
918,147,24,DIRECT-iR-BRAVIA,
919,282,16,DIRECT-iR-BRAVIA,
920,277,85,DIRECT-iR-BRAVIA,187.0
921,273,159,DIRECT-iR-BRAVIA,192.0
922,274,244,DIRECT-iR-BRAVIA,192.0
923,274,351,DIRECT-iR-BRAVIA,
924,272,458,DIRECT-iR-BRAVIA,
925,269,588,DIRECT-iR-BRAVIA,189.0
926,263,710,DIRECT-iR-BRAVIA,189.0
927,255,828,DIRECT-iR-BRAVIA,197.0
928,242,909,DIRECT-iR-BRAVIA,
929,231,965,DIRECT-iR-BRAVIA,205.0
930,357,957,DIRECT-iR-BRAVIA,197.0
931,360,903,DIRECT-iR-BRAVIA,196.0
932,360,819,DIRECT-iR-BRAVIA,190.0
933,369,704,DIRECT-iR-BRAVIA,191.0
934,367,605,DIRECT-iR-BRAVIA,195.0
935,370,502,DIRECT-iR-BRAVIA,
936,389,394,DIRECT-iR-BRAVIA,
937,394,249,DIRECT-iR-BRAVIA,
938,391,153,DIRECT-iR-BRAVIA,195.0
939,389,71,DIRECT-iR-BRAVIA,
940,391,12,DIRECT-iR-BRAVIA,191.0
941,514,13,DIRECT-iR-BRAVIA,
942,502,67,DIRECT-iR-BRAVIA,
943,507,150,DIRECT-iR-BRAVIA,
